Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
SolTransfer,28XGjBkNHUzFj5D4ZYpvu6Ddh58WPik2vh21KqgW1R9MVdwRBUCU8Nsn5Td3T34xaszbJUSyUijvVpQ5CeCnwnkT,1710860564,2024-03-19T15:02:44,0.000025,,,,,,,Solana,SOL,ExUhvXX2DBwJ8e6u6Esv53T3QcuEbvboUX1c9eF56ct4,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,58Z69YhtT5VvrBs3rgHvzEsXpdLRDvGS5eHHHTZyXvzEP3eX5uDM615aCVpVsCcux5dHA5tuqSgxG4e6MGu7HYRQ,1710859659,2024-03-19T14:47:39,0.000060291,,,,,,,Solana,SOL,7ek1gX26faY9MtPT3Bb4eEXWdVLTRDYGWwNSUoyshoia,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,5cD6Zm281obQU4QoMJ9oXvfEuJEwzUx286FLxWhYMoiJzKg1GfVNZRQoqhjdgFUK2AKqgq2hMH6tfgiqfGdJpQEz,1710858658,2024-03-19T14:30:58,0.000025,,,,,,,Solana,SOL,E1T9mpHnRw4jbmocoYjsVzPACSEuDKHCiHKfyp7CqSKT,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,4T2tvcpYpWzDaQhhniAMrTpfjsfXETAokh4VeHePuxaewQBCtAictrzGV2Bk4VT4YnqUhaVxjPt5P3iGvowh4biy,1710858366,2024-03-19T14:26:06,0.000025,,,,,,,Solana,SOL,VbCdG75Wnf76AHLjDJFrGbgS5fcKAMtzRLVVtJMqEem,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,3
SolTransfer,5aCrY1ZDNg3rCXupibB22Tcs4YRsKNxjbQoS2eNNEkieHpPSxjxcutmnHYhMppLkEPrJMWPPRCzwk2K5ddx9K6tQ,1710858263,2024-03-19T14:24:23,0.000025,,,,,,,Solana,SOL,GercnhNgBjYqr7Xwey45WygLCzXJBg2KvXCuvWdZC2sb,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,4do4EA9sVmdc1m2PYXfPFUqpEXfUhPYFFgnAXMQhRKTuMhsambzHhbGpDW1ZzYZPvcAbyTB75igge3VtagzYqHLb,1710858101,2024-03-19T14:21:41,0.000025,,,,,,,Solana,SOL,3uex925vUNNUXa8xhkYSm6Fq7tpS41F6nrTHKCjxSfm4,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,4DBgYByx7LJB5mjKiCCT8pM2yrs3F6yoiywJpWw2hC6STJPVTm5d2HhXPsMZfsMif7oNSRXqt6gLg6Qm8UTS8iTv,1710857866,2024-03-19T14:17:46,0.00001,,,,,,,Solana,SOL,75ALxXtQm4AJJUtYSApjemFxequs5eFrtVAei8MZbZAc,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,
SolTransfer,5ComBdWksZnp2c1rvjYGHHQwwmzLUzpLC3eT3DM62hSdFv6t4zTzbpzbtkiunmMrc2tRPPexaxuzrZdsSj1xGJ9F,1710857749,2024-03-19T14:15:49,0.000025,,,,,,,Solana,SOL,E3qjpAVpntNoKHNCp1wck7iPnzoqyhwsxw8aUK5ihEzQ,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,2
SolTransfer,DRqC53P6P7Eio7GPDJm5mdfmMCdBiYLSuf55W2WgqdqCrL7JLpNJpqeTvthfNU6RVMhbcFtFywZmFRPwqMrVFma,1710857700,2024-03-19T14:15:00,0.000025,,,,,,,Solana,SOL,HHWddwtHyxCXaoWUcmYvL7UZf2VhECYeRsjqFXVZbzAc,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1.1
SolTransfer,4hShax1UVbEKWEYuG6m2PtaxwTFnPmzpM1wf61FNEB1zZW1p6eswNXYTH6RfH5hV7jL45edUevHJ2y4unLWgmFVE,1710857563,2024-03-19T14:12:43,0.000025,,,,,,,Solana,SOL,G1iV9DWQ8kj6w5pyu8gibPYo4x9a8sgyMibft9rEWiq8,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.01659
SolTransfer,4hHRQ29SerSAuHfaiLZoEZMNRyJ5JGLmeUwQ5i1junKDryBirFWpaXYSZbnWKpyYGfpftM7Cn9uVYny9WqoXGtBY,1710856426,2024-03-19T13:53:46,0.000054,,,,,,,Solana,SOL,J8hraAfeRf8GNPF9gPKYJx6Mz3TEivJLETpqoqRDMy8S,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,2uXJQG647rj8Kvw78AoZjFX9oG28bTcYiEq6p75YqrEaZ6ZnH1DWenSq9g2rUbhEFydfzCJEgSCd5uwZLbWmh1XX,1710856170,2024-03-19T13:49:30,0.000025,,,,,,,Solana,SOL,2T1oDFyGk3GaWC7BPXsDRo2Y8dsD7QkiDiXqN92ywxGS,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1.001
SolTransfer,Aq1gcs6byJBSR1AHeGSywMajrBFFftwUeeHKvMYRWqy3hLod1xdGsWh1AhUSwaxDxTm85avLTUdc9n9eRtiCCNS,1710855851,2024-03-19T13:44:11,0.000025,,,,,,,Solana,SOL,F9oEpgvhYVU1FUB66eaKAnq4f7rRvtEEWYEcb9AEsUC6,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,3fDLPcnWnwJnn9yUdZp2HWMoMifWwzZeSfLPREtmYrTYrT71GZ8GrN6D5iV32o8Zv5dYoJfrtAWuowxpKpXXF9V8,1710855720,2024-03-19T13:42:00,0.000025,,,,,,,Solana,SOL,Gr8Txrrcn6vk98scXyw3M23oX5T4p9QqRikAJ76nyUxc,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,5DPVF15HWwnKARvUPSz3sdknnEhcZKCFPH7oVFDhwE1o7KsMpPfyhP5nWZQctCRHXGF1tmJrXoara5kCNZcKJQMZ,1710855557,2024-03-19T13:39:17,0.000025,,,,,,,Solana,SOL,ECSYvTLNCHC4ZEfM96kxp7sdiUaFkm7W7Cvdyq7B4djz,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.02
SolTransfer,3n5dgMRaS4U8dge4Mx5RhJkUrorrJs9Tdid5npnBivgvgXGNGXxMcLuG2K7UDKwX9Svw71S7ht9xuLvnxdKD8PFr,1710855036,2024-03-19T13:30:36,0.000005,,,,,,,Solana,SOL,H31HbWtjb9AXHiuA3nokLsKr7ZWktehGqSHp2Lnja5fJ,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,5
SolTransfer,566UM28bwxkvQPrgFYGL9CvJytgL1KMGZ4LsV1TV6ercRE8MEkSBsGyynnYNG5xTDgAdBC3PuGx134N217jFLbp6,1710854878,2024-03-19T13:27:58,0.000054,,,,,,,Solana,SOL,5Zmc2hsH6N9aq8S8do6JUnAhHNX8UmZmTs8isZqNykH1,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,2
SolTransfer,38rYUjAoc2fxtRYjVYAABU3F9LB5Xd3XBHjevWJ4qan7Af31chJeTuLb4dQidzWuSFiq9RjsExZMS9StXdb8mB5c,1710854760,2024-03-19T13:26:00,0.000025,,,,,,,Solana,SOL,HAXUESDpSE91Z1ueHxnvoGh6egVsr69ztFwp1Hrmac2V,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,5N6y7g9fetHaNv9LuR8mzzQ1US6DiBXN8rjVMyU7btGFFyhVDPfpJu63yozbsgpFGqbDhvJgZHGJBZJTdcTB4TBC,1710854705,2024-03-19T13:25:05,0.000025,,,,,,,Solana,SOL,6gd7cwjSTn9Utj5fmAdS2FBwmRf5fPYsEzD3DrVaB3tH,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
